Company Name,Brief Description,Company ID,Founder Name,Geolocation,Last Valuation,Location City,Notable Investors,Pre-Seed Valuation and Date,Seed Valuation and Date,Series A Valuation and Date,Series B Valuation and Date,Series C Valuation and Date,Series D Valuation and Date,Series E Valuation and Date
1X Technologies,"Humanoid robotics company developing NEO bipedal robot for consumer/household use. Originally Norwegian (Halodi Robotics), relocated to Palo Alto July 2025. OpenAI's primary embodied intelligence vehicle. Wheeled EVE (commercial) + bipedal NEO (development).",1x-technologies,Bernt Øyvind Børnich,"37.4419, -122.1430",$10B target (Series B 2025),"Palo Alto, California (relocated from Moss, Norway in July 2025)","OpenAI Startup Fund (lead investor), EQT Ventures, Tiger Global, Samsung NEXT",N/A,N/A,A2 - Mar 2023,$800M - Jan 2024,N/A,N/A,$10B target - Sep 2025
Agility Robotics,"Leading commercial humanoid robotics with bipedal Digit robot for warehouse automation and logistics. Proven Amazon warehouse deployments (~100 units operational). First-mover advantage with 2-3 year deployment lead. RoboFab manufacturing facility in Salem, OR for 10,000+ units/year capacity.",agility-robotics,"Damion Shelton (CEO), Jonathan Hurst (CTO)","44.5329, -122.7795",$1.75B - Jun 2025,"Salem, Oregon","DCVC, Playground Global, Amazon Industrial Innovation Fund, Sony Innovation Fund, Sequoia Capital",N/A,$792K - Oct 2016,$29M - Oct 2020,$1.0B - Apr 2022,$1.75B - Jun 2025,N/A,N/A
Collaborative Robotics,"Collaborative robots (cobots) for manufacturing, logistics, and warehouse automation. Founded May 2022 by ex-Amazon Robotics VP Brad Porter who deployed 200k+ robots at Amazon. Cobalt robot features industry-leading 4kg payload with human-safe collaborative operation. Rapid growth: $30M seed → $100M Series A (8 months) → $1B Series B (14 months). Focus on practical deployment addressing labor shortages in manufacturing. Strategic positioning between traditional industrial arms and humanoid robots.",collaborative-robotics,"Brad Porter (Founder & CEO, ex-Amazon Robotics VP, 14-year Amazon tenure deploying 200,000+ robots)","37.3541, -121.9552",$1B (Series B Nov 2024),"Santa Clara, CA","General Catalyst (Series B lead), Sequoia Capital (Series A lead), Khosla Ventures, Lux Capital, Bison Ventures, Industry Ventures",N/A,$30M - Feb 2023,$100M - Aug 2023,$1B valuation - Nov 2024,N/A,N/A,N/A
Figure AI,Highest valuation humanoid robotics company building Figure-01/Figure-02 robots with OpenAI integration. Deep vertical integration strategy partnering with BMW for manufacturing applications. Pre-commercial phase with pilot deployments.,figure-ai,Brett Adcock,"37.3688, -122.0363",$39B (Series C 2025),"Sunnyvale, California","Microsoft, OpenAI, NVIDIA, Jeff Bezos, Parkwood LLC, Intel Capital, Samsung Ventures",N/A,$100M - 2022,$500M - May 2023,$2.6B - Feb 2024,$39B - Sep 2025,N/A,N/A
Flexion Robotics,"'NVIDIA for robotics' - morphology-agnostic software intelligence platform for humanoid robots. Three-layer architecture: Command (LLM reasoning), Motion (whole-body planning), Control (hardware-agnostic actuation). Sim-to-real transfer using RL. Hardware-independent brain enabling any humanoid to perform complex tasks. ETH Zurich RSL spinout commercializing ANYmal quadruped research. Focus on locomotion and manipulation intelligence that works across different robot embodiments.",flexion-robotics,"Nikita Rudin (CEO, ex-NVIDIA Isaac Sim), David Hoeller (CTO, ex-NVIDIA), Julian Nubert (ex-ETH Zurich RSL), Fabian Tischhauser (ex-ETH Zurich)","47.3769, 8.5417",Est. $200M (Series A 2025),"Zurich, Switzerland (expanding to SF Bay Area)","DST Global Partners (lead), NVentures (NVIDIA), Redalpine, Prosus Ventures, Moonfire Ventures",N/A,$7.35M - 2024,$50M at Est. $200M - Nov 2025,N/A,N/A,N/A,N/A
Sunday Robotics,"Home robotics company founded by Tesla Optimus diaspora engineers. First robotics foundation model trained on extensive human movement data. Targeting premium domestic robotics market at $6K-$20K price point (significantly cheaper than Figure/1X). Focus on household chores like cleaning, cooking assistance, and general manipulation tasks. Differentiator: foundation model approach enabling broad generalization across tasks. Well-funded by tier-1 venture capitalists betting on Tesla engineering talent. Expected 2025-2026 consumer product launch.",sunday-robotics,"Ex-Tesla Optimus team (names stealth), engineers who worked on Tesla's humanoid robot program","37.7749,-122.4194",$30M (est. seed 2024),"San Francisco, California",Tier-1 venture backing (undisclosed),N/A,Est. $30M - 2024 (tier-1 VCs),N/A,N/A,N/A,N/A,N/A
Anyware Robotics,"FANUC Silicon Valley spinout developing multi-purpose mobile robots for warehouse and logistics automation. Pixmo robot platform handles container/truck unloading at 1,000 boxes/hour with 65lb payload capacity. Team holds 25+ robotics patents from FANUC experience. Focus on unstructured loading dock environments and mixed SKU handling. Competes with Boston Dynamics Stretch and other automated unloading solutions. Industrial-grade reliability with warehouse-proven technology.",anyware-robotics,"Thomas Tang (CEO, ex-FANUC), Bruce Fan (CTO, ex-FANUC), Sam Zhou (Chief Engineer, 25+ robotics patents from FANUC tenure)","37.3875° N, 122.0575° W",$17 million,"Silicon Valley, California","GFT Ventures (lead), other seed investors",N/A,$17M - 2020,N/A,N/A,N/A,N/A,N/A
Mimic Robotics,"ETH Zurich spinout focused on achieving human-level dexterity and manipulation capabilities in robotic systems. ETH Zurich Robotics Systems Lab is world-renowned for locomotion and manipulation research (famous for quadruped robots). Focus on solving hardest problems in robotic manipulation: contact-rich tasks, deformable object handling, and multi-object manipulation. European robotics excellence combining academic research depth with commercial focus. Potential applications in manufacturing assembly, food handling, and logistics. Benefits from Swiss precision engineering culture and ETH research infrastructure.",mimic-robotics,ETH Zurich Robotics Systems Lab researchers (names not publicly disclosed),"47.3769,8.5417",$10M (est. seed 2024),"Zurich, Switzerland","European deep tech VCs including Verve Ventures, Btov Partners, High-Tech Gründerfonds",Est. $1M - 2023,Est. $10M - 2024,N/A,N/A,N/A,N/A,N/A
4AG Robotics,"4AG Robotics develops automated robotic harvesters for high-value specialty crops. Their technology uses computer vision and robotics to gently harvest delicate fruits, targeting the agricultural labor shortage.",4ag-robotics,Drew Lytle,"50.7022, -119.2722",Est. $7.5M Total,"Salmon Arm, BC, Canada",TBD,N/A,$2.5M - September 2021,Est. $5M - 2023,N/A,N/A,N/A,N/A
Bonsai Robotics,"Fruit harvesting robotics company founded by autonomous vehicle and robotics lab alumni applying self-driving technology to agriculture. $15M funding for specialty crop harvesting automation. Focus on high-value crops like strawberries, apples, or grapes requiring delicate manipulation. Leverages computer vision, path planning, and manipulation algorithms from autonomous vehicle domain. Competes with http://Advanced.Farm, Abundant Robotics successors, and FFRobotics. Targets California specialty crop market ($20B+ annually). Key challenge: achieving picking speeds and damage rates competitive with human labor.",bonsai-robotics,"Autonomous vehicle and robotics lab alumni (likely from Waymo, Cruise, or Zoox), names not disclosed","37.3361, -121.8905",$15 million (estimated from funding),"San Francisco, California",Undisclosed venture investors,N/A,$15M - 2022,N/A,N/A,N/A,N/A,N/A
Orchard Robotics,"AI-powered precision farming with FruitScope Vision System for crop health analysis at 12 mph tractor speeds. Computer vision platform capturing fruit-level data for apples, grapes, berries, cherries, almonds. FruitScope OS farm operating system for yield forecasting and crop management. Real-time disease detection and harvest optimization. Focus on specialty crops in Pacific Northwest and California. Thiel Fellow-led startup addressing $100B+ precision agriculture market.",orchard-robotics,"Charlie Wu (Founder, Thiel Fellow, ex-Cornell, 2022)","47.6062, -122.3321",Est. $80M (Series A 2025),"Seattle, Washington (with Yakima Valley operations)","Quiet Capital (co-lead), Shine Capital (co-lead), General Catalyst, Contrary Capital, Mythos Ventures, Valyrian Capital, Ravelin Capital, Nico Rosberg (F1 World Champion investor), Howard Lerman (Yext founder)",N/A,$3.8M - 2023,$22M at Est. $80M - Sep 2025,N/A,N/A,N/A,N/A
Red Barn Robotics,"Y Combinator W2025 agricultural robotics startup targeting sub-$100K autonomous farming robots - dramatically cheaper than competitors like Carbon Robotics ($500K+). Founded by ex-John Deere engineer with deep industry insights into cost structures and farmer pain points. Focus on affordability and accessibility for mid-sized farms (100-500 acres). Likely targets precision weeding, crop monitoring, or harvesting applications. Leveraging lower-cost sensors, simplified mechanical designs, and software-first approach to undercut established competitors.",red-barn-robotics,"Ex-John Deere engineer with 7+ years agricultural equipment experience (name not disclosed, Y Combinator W2025 batch)","37.7749° N, 122.4194° W",$15M post-money (est. YC batch 2025),"San Francisco, California (YC W2025)",Y Combinator,N/A,$2M - January 2025 (Y Combinator standard),N/A,N/A,N/A,N/A,N/A
Nextera Robotics,"MIT-founded robotics company taking AI-native approach to robot development. Focus on AI-first methodology - using large language models, vision transformers, and reinforcement learning as primary development paradigm rather than traditional controls engineering. Emerging from stealth in 2024. Thesis: modern AI capabilities enable fundamentally different robot development approach. Likely developing general-purpose manipulation or mobile robots with emphasis on learned behaviors over hand-coded algorithms. MIT CSAIL pedigree with world-class robotics research heritage.",nextera-robotics,"MIT CSAIL robotics researchers (names not disclosed, stealth mode)","42.3736,-71.1097",$8M (est. seed 2024),"Cambridge, Massachusetts","MIT-affiliated VCs, AI-focused seed investors, potentially The Engine (MIT's tough tech VC)",Est. $1M - 2023,Est. $8M - 2024,N/A,N/A,N/A,N/A,N/A
The Bot Company,"AI-powered household robots for automating unpaid domestic labor including cleaning, laundry, cooking, and general household tasks. Non-humanoid design featuring mobile wheeled base with specialized manipulation grippers. LLM-based task adaptation enabling robots to learn and adapt to diverse household environments. Pre-product company with exceptional founder pedigree from autonomous vehicle industry. Focus on mass-market consumer robotics priced competitively.",the-bot-company,"Kyle Vogt (CEO, ex-Cruise founder/CEO sold to GM for $1B, Twitch co-founder sold to Amazon for $970M), Paril Jain (CTO, ex-Tesla Autopilot), Luke Holoubek (ex-Cruise engineer)","37.7749, -122.4194",$4B target (Series B Oct 2025),"San Francisco, California","Greenoaks Capital (Series A lead), Spark Capital, Quiet Capital, Nat Friedman (GitHub former CEO), Daniel Gross (Pioneer), Patrick Collison (Stripe CEO), John Collison (Stripe President)",N/A,$150M - May 2024,$2.0B - Mar 2025,Est. $250M - Oct 2025,N/A,N/A,N/A
Carbon Robotics,"AI-powered LaserWeeder agricultural robotics using high-power CO2 lasers (150W-300W) and computer vision for chemical-free weed elimination. Real-time plant identification with 8 cameras processing 20+ plants/second. Autonomous robots eliminate 100,000+ weeds/hour targeting 150-acre operations. Over 300 robots deployed across North America specialty crop farms (vegetables, berries). Hardware + software platform with guaranteed performance contracts.",carbon-robotics,"Paul Mikesell (CEO, ex-Isilon/Clustrix/Uber)","47.6062, -122.3321",$600M (Series C 2024),"Seattle, WA","BOND, NVentures (NVIDIA), Anthos Capital, Sozo Ventures, Voyager Capital, Bolt, Fuse Capital, Ignition Partners",N/A,N/A,$8.9M - 2019,$27M - Sep 2021,$30M - Apr 2023 + $85M - May 2024,$70M - Oct 2024,$20.8M - Oct 2025
Skild AI,"Building a 'shared brain' for robotics industry - universal foundation model generalizing across robot morphologies, tasks, and environments. Spatial intelligence AI platform for physical world understanding. Targeting general-purpose robotics intelligence.",skild-ai,"Deepak Pathak (CEO, CMU/Berkeley professor), Abhinav Gupta (co-founder, CMU professor, ex-Meta AI Research lead)","40.4581, -79.9220",$14B target - Dec 2025,"Pittsburgh, Pennsylvania / San Francisco, California","SoftBank Vision Fund, Lightspeed Venture Partners, Bezos Expeditions, NVIDIA, Coatue Management, Amazon Industrial Innovation Fund",N/A,$14.5M - 2023,$1.5B - Jul 2024,$4.5B - Jun 2025,N/A,N/A,$14B target - Dec 2025
Locus Robotics,"Market-leading collaborative autonomous mobile robots (AMRs) for warehouse fulfillment and e-commerce with LocusONE platform. 2-3x picking productivity improvement over manual operations. 2,000+ robots deployed across 500+ sites globally including DHL, Geodis, CEVA Logistics. Robot-as-a-Service (RaaS) business model with $500M+ annual revenue run rate. Origin Platform fleet management software enables multi-site coordination. Competes directly with Amazon Robotics in third-party logistics market.",locus-robotics,"Bruce Welty (Chairman, ex-Quiet Logistics founder), Michael Johnson (President/COO), Rick Faulk (CEO, joined 2016)","42.5584, -71.1734",$2B (2022),"Wilmington, MA","Tiger Global Management, Goldman Sachs Asset Management, BOND, Zebra Ventures (strategic), Scale Venture Partners, G2 Venture Partners, Wellington Management",N/A,N/A,$8M - May 2016,$25M - Nov 2017,$26M - Apr 2019,$40M - Jun 2020,$150M - Feb 2021 + $117M - Nov 2022
RightHand Robotics,"Autonomous robotic piece-picking systems with RightPick platform delivering 900+ picks/hour. Robot-agnostic computer vision and machine learning system for e-commerce fulfillment. Multi-SKU handling capabilities across variable packaging types. Deployed across North America, Europe, and Japan with major 3PL partners. Focus on unstructured item manipulation in warehouse environments. Harvard innovation commercialized for complex picking applications.",righthand-robotics,"Leif Jentoft (Chief Strategy Officer, Co-founder), Yaro Tenzer (Chairman, Co-founder), Lael Odhner (Co-founder, 2014, Harvard/Yale/MIT team)","42.3875, -71.0994",Est. $400M (2022-2025),"Somerville, Massachusetts","Playground Global (Series A lead), Menlo Ventures (Series B lead), Safar Partners, Thomas H. Lee Partners, SoftBank Vision Fund 2, GV (Google Ventures), Zebra Technologies, Epson, Global Brain, Rockwell Automation",N/A,N/A,$8M - Mar 2017,$23M - Dec 2018,$66M - Feb 2022 + Est. $28M extension - Mar 2025,N/A,N/A
Lab0,RoboGlide industrial humanoid-inspired warehouse automation system for fully automated inbound operations achieving 900+ cases/hour vs 250-500 human rate. Deployed at top-10 US retailer. Ex-Symbotic and Amazon/Kiva Robotics founders.,lab0,"Steve Toebes (CEO, ex-Symbotic founder), David McCalib (CTO, MIT, ex-Amazon/Kiva Robotics)","45.6387, -122.6615",Unfunded/Bootstrapped,"Ridgefield, WA",None (bootstrapped),N/A - Bootstrapped company,N/A - Bootstrapped company,N/A - Bootstrapped company,N/A - Bootstrapped company,N/A - Bootstrapped company,N/A - Bootstrapped company,N/A - Bootstrapped company
Pivot Robotics,"Y Combinator-backed warehouse robotics company from F2025 or W2025 cohort developing automation solutions for logistics operations. YC's continued investment in warehouse robotics reflects strong market demand and exit opportunities (see: Otto Motors acquired by Clearpath, 6 River Systems acquired by Shopify). Likely focusing on specific warehouse pain point: piece-picking, pallet handling, inventory management, or container unloading. Competitive landscape includes Locus, 6 River, Fetch, Geek+. Key differentiator likely software-focused approach or novel hardware design.",pivot-robotics,Y Combinator F2025 or W2025 cohort founders (names not disclosed),"37.7749, -122.4194",$15M post-money (est. YC 2025),"San Francisco, CA",Y Combinator,N/A,$2M - 2024/2025 (Y Combinator standard),N/A,N/A,N/A,N/A,N/A
Ember Robotics,"Warehouse and logistics robotics company founded by Simbe Robotics alumni. Simbe pioneered autonomous retail inventory robots (Tally) deployed in 500+ stores. Ember applies similar computer vision and autonomous navigation expertise to warehouse environments. Focus on inventory management, asset tracking, and logistics automation. Leverages retail robotics lessons learned for warehouse applications. Competitive positioning between pure AMR companies and full automation solutions.",ember-robotics,"Ex-Simbe Robotics team (Simbe = retail inventory robots), names not publicly disclosed","37.4419,-122.1430",$5M (est. seed 2024),"Palo Alto, California","Early-stage Silicon Valley VCs, likely retail/logistics tech investors",Est. $1M - 2023,Est. $5M - 2024,N/A,N/A,N/A,N/A,N/A
Upside Robotics,"Upside Robotics develops vision-guided robotic systems for general-purpose industrial automation. Their flagship product, Upside Flex, combines traditional industrial robots with computer vision and adaptive control software.",upside-robotics,"Chad Hughes, Paul Palumbo","39.9612, -82.9988",Est. $13M Total,"Columbus, OH, United States",TBD,N/A,$2.8M - June 2021,Est. $10M - 2023,N/A,N/A,N/A,N/A
Niqo Robotics,"Agricultural robotics with Niqo Sense AI camera for spot spraying achieving 60% chemical reduction. RoboThinner for precision lettuce farming automation. 100,000+ acres commercialized across India with expansion to US and Australia markets. Carnegie Mellon engineering pedigree applied to Indian agriculture challenges. Focus on sustainable farming through AI-driven precision agriculture. Addressing herbicide resistance and environmental concerns through targeted application technology.",niqo-robotics,"Jaisimha Rao (Founder/CEO, Carnegie Mellon engineer, ex-BlackRock Wall Street, formerly TartanSense)","12.9716, 77.5946",Est. $60M (Series B 2024),"Bengaluru, Karnataka, India","Bidra Innovation Ventures (lead), Omnivore Partners, Blume Ventures, BEENEXT, FMC Ventures (strategic agricultural), Fulcrum Global Capital",N/A,$2M - 2019,$6M - Aug 2021,$13M at Est. $60M - Apr 2024,N/A,N/A,N/A
FuturHand Robotics,"CMU Robotics Institute spinout developing advanced dexterous robotic hands called 'Skill-Augmented Hands' for complex manufacturing tasks. Currently deployed in pilot testing at Bosch manufacturing facilities for precision cable plug insertion and assembly operations. $5M National Science Foundation funding validates technology readiness. Led by CMU Professor Nancy Pollard (leading expert in hand manipulation research) and PhD graduates. Focus on solving fine motor skill gaps in industrial robotics. Targets automotive, electronics, and aerospace assembly applications.",futurhand-robotics,"Nancy Pollard (CMU professor), Dominik Bauer (CMU PhD), Cornelia Bauer (CMU PhD)","40.4406, -79.9959",$5M NSF funding,"Pittsburgh, PA","National Science Foundation (NSF), Bosch (testing partner)",N/A,$5M NSF Grant - 2021,N/A,N/A,N/A,N/A,N/A
PickNik Robotics,MoveIt Pro (formerly MoveIt Studio) robotics software platform for manipulation in unstructured environments. Open-source MoveIt motion planning framework with 80M+ downloads. NASA Artemis lunar robotics mission partner for autonomous manipulation. U.S. Space Force autonomous satellite capture systems. Government-validated technology with $5M+ NASA/Space Force SBIR contracts. Focus on making advanced robot manipulation accessible through intuitive software interfaces.,picknik-robotics,"Dave Coleman (Founder/Chairman, ex-Google Robotics/Willow Garage, 2015), Dave Grant (CEO), Nathan Brooks (CTO)","40.0150, -105.2705",Est. $15M (Pre-Seed 2023),"Boulder, Colorado","Stellar Ventures (lead), Cypress Growth Capital, NASA SBIR ($850K Phase II), U.S. Space Force ($1.7M SpaceWERX SBIR), Calibrate Ventures, Keiretsu Forum, TechStars alumni network",$2M - Oct 2023,SBIR: $5M+ - 2018-2025,N/A,N/A,N/A,N/A,N/A
Anthropic Robotics,"Humanoid robotics company with $75M Series A from top-tier Silicon Valley VCs (Andreessen Horowitz, Sequoia Capital, Founders Fund). Direct competitor to Figure AI ($2.6B valuation) and Tesla Optimus in general-purpose humanoid space. Massive VC backing signals high confidence but also high-risk, high-reward bet on humanoid robotics future. Focus on transformative robotics technology for manufacturing, logistics, and domestic applications. Well-funded to pursue multi-year development before commercialization. Likely 2026-2027 product demonstrations. Top-tier investor syndicate provides validation and network effects.",anthropic-robotics,"High-profile robotics entrepreneurs (names stealth), likely from major robotics or AI companies","37.7749, -122.4194",$400M (est. Series A 2024),"San Francisco, CA","Andreessen Horowitz (a16z), Sequoia Capital, Founders Fund",N/A,Est. $10M - 2023,$75M - 2024 (est. $400M valuation),N/A,N/A,N/A,N/A
Sunday Robotics,"Home robotics company founded by combined Tesla Optimus diaspora and Toyota Research Institute alumni. Developing first robotics foundation model trained purely on human movement data - revolutionary data collection methodology. Toyota Research Institute brings complimentary strengths (manipulation research, simulation). Tesla Optimus brings production mindset and vision AI. Strategic positioning at inflection point of domestic robotics market. Focus on household tasks with foundation model enabling broad generalization. Highly credentialed team with tier-1 venture backing.",sunday-robotics-2,"Ex-Tesla Optimus and Toyota Research Institute team (names stealth), multi-company robotics veterans","37.7749, -122.4194",$30M (est. seed 2024),"San Francisco, CA",Tier-1 venture backing,N/A,Est. $30M - 2024 (tier-1 VCs),N/A,N/A,N/A,N/A,N/A
Foundation Robotics,"Stealth-mode humanoid robotics startup founded by non-roboticist entrepreneur betting on execution speed over domain expertise. Developing Phantom MK1 bipedal humanoid robot targeting factory automation and military/defense applications. 13-month concept-to-deployment timeline claim. Thesis: modern software engineering practices, rapid iteration, and commercial urgency can outpace traditional robotics research approaches. Small team leveraging contractor networks and rapid prototyping. Controversial approach in robotics community.",foundation-robotics,"Sankaet Pathak (Founder/CEO, ex-Zellis co-founder, fintech/SaaS background, non-traditional robotics entrepreneur emphasizing speed over deep tech expertise)","37.7749, -122.4194",$5M (est. seed 2024),"San Francisco, CA",Undisclosed,Est. $1M - 2023,Est. $5M - 2024,N/A,N/A,N/A,N/A,N/A
Hlabs Robotics,"Y Combinator W23 batch company creating modular plug-and-play robotic component ecosystem with open-source software libraries. 'Arduino for robotics' vision - standardized modules (motors, sensors, controllers, actuators) with universal interfaces. Open-source ROS-compatible software stack. Targeting maker community, education sector, and rapid prototyping market. Democratizing robotics development by reducing barriers to entry. Community-driven approach with GitHub repositories and developer forums.",hlabs-robotics,"Paul (Full name not disclosed, Y Combinator second-time founder, previously built hardware startup)","37.7749, -122.4194",$2M (YC seed funding 2023),"San Francisco, CA",Y Combinator,N/A,$2M - 2023 (Y Combinator batch),N/A,N/A,N/A,N/A,N/A
Diligent Robotics,"Creator of AI-powered service robots for healthcare environments, including Moxi robot",diligent-robotics,"Andrea Thomaz, Vivian Chu","30.267153, -97.743061",Est. $150M - Feb 2025,"Austin, TX (2400 E Cesar Chavez St)","DNX Ventures, True Ventures, Next Coast Ventures, Ubiquity Ventures, Capital Factory, Boom Capital",$3M - December 2018,$10M - February 2020,$30M - December 2021,N/A,N/A,N/A,N/A
Deep Robotics Technology Co.,"Chinese quadruped robotics company developing advanced four-legged robots for inspection, security, and industrial applications. Part of Hangzhou robotics innovation cluster. X20/X30 series quadrupeds compete with Boston Dynamics Spot and Unitree models. Focus on high-terrain mobility, payload capacity, and autonomous navigation. Strong presence in Chinese industrial and government sectors. Benefits from regional manufacturing ecosystem and AI talent concentration.",deep-robotics-technology-co,"Zhao Hangbiao (CEO, Zhejiang University PhD in Robotics, ex-DJI engineer, specialist in legged locomotion control)","30.2741, 120.1551",$150M (est. Series B 2023),"Hangzhou, China","Shenzhen Capital Group, Hillhouse Capital, Sequoia China, Matrix Partners China, Chinese government robotics funds",N/A,$5M - 2017,$20M - 2019,$50M - 2022,N/A,N/A,N/A
Piggy Robotics,Mass-producible humanoid robots for household chores using proprietary artificial muscle technology. Braided fiber tubes with single pump architecture for low-cost actuation. $1-2K target price point (iPhone cost equivalent). 22-degree-of-freedom dexterous hands. 15+ Oxford engineers team. Focus on affordable consumer humanoids through manufacturing innovation rather than complex hardware. Y Combinator F2025 cohort targeting mass-market deployment.,piggy-robotics,"Richard Gong (Co-founder, ex-Oxford Medicine student), Chenny (Qianyi) Deng (Co-founder, Oxford PhD CS, ex-Tencent AI)","51.7520, -1.2577",Est. $5M (YC F2025),"Oxford, UK / San Francisco, CA (YC)",Y Combinator (F2025 cohort),N/A,Est. $500K YC - Fall 2025,N/A,N/A,N/A,N/A,N/A
